id,label,tipo,album_referencia,grupo
A1,Bad Bunny,artista,central,central
A2,Chencho Corleone,artista,Un Verano Sin Ti,colaborador_UVST
A3,Jhayco,artista,Un Verano Sin Ti,colaborador_UVST
A4,Rauw Alejandro,artista,Un Verano Sin Ti,colaborador_UVST
A5,Bomba Estéreo,grupo,Un Verano Sin Ti,colaborador_UVST
A6,RaiNao,artista,DeBÍ TiRAR MáS FOToS,colaborador_DTMF
A7,Chuwi,grupo,DeBÍ TiRAR MáS FOToS,colaborador_DTMF
A8,Omar Courtz,artista,DeBÍ TiRAR MáS FOToS,colaborador_DTMF
A9,Dei V,artista,DeBÍ TiRAR MáS FOToS,colaborador_DTMF
A10,Los Pleneros de la Cresta,grupo,DeBÍ TiRAR MáS FOToS,colaborador_DTMF
A11,Tony Dize,artista,Un Verano Sin Ti,colaborador_UVST
A12,The Marías,grupo,Un Verano Sin Ti,colaborador_UVST
A13,Buscabulla,grupo,Un Verano Sin Ti,colaborador_UVST
A14,Tainy,artista,Un Verano Sin Ti,colaborador_UVST
